OWL_CLASS,<http://www.w3.org/2002/07/owl#Class>
OWL_FUNCTIONAL_PROPERTY,<http://www.w3.org/2002/07/owl#FunctionalProperty>
OWL_INVERSE_FUNCTIONAL_PROPERTY,<http://www.w3.org/2002/07/owl#InverseFunctionalProperty>
OWL_SYMMETRIC_PROPERTY,<http://www.w3.org/2002/07/owl#SymmetricProperty>
OWL_TRANSITIVE_PROPERTY,<http://www.w3.org/2002/07/owl#TransitiveProperty>
OWL_SAME_AS,<http://www.w3.org/2002/07/owl#sameAs>
OWL_INVERSE_OF,<http://www.w3.org/2002/07/owl#inverseOf>
OWL_EQUIVALENT_CLASS,<http://www.w3.org/2002/07/owl#equivalentClass>
OWL_EQUIVALENT_PROPERTY,<http://www.w3.org/2002/07/owl#equivalentProperty>
OWL_HAS_VALUE,<http://www.w3.org/2002/07/owl#hasValue>
OWL_ON_PROPERTY,<http://www.w3.org/2002/07/owl#onProperty>
OWL_ON_CLASS,<http://www.w3.org/2002/07/owl#onClass>
OWL_SOME_VALUES_FROM,<http://www.w3.org/2002/07/owl#someValuesFrom>
OWL_ALL_VALUES_FROM,<http://www.w3.org/2002/07/owl#allValuesFrom>
RDFS_PROPERTY,<http://www.w3.org/2002/07/owl#ObjectProperty>
RDFS_SUBCLASS_OF,<http://www.w3.org/2000/01/rdf-schema#subClassOf>
RDFS_SUBPROPERTY_OF,<http://www.w3.org/2000/01/rdf-schema#subPropertyOf>
RDFS_DOMAIN,<http://www.w3.org/2000/01/rdf-schema#domain>
RDFS_RANGE,<http://www.w3.org/2000/01/rdf-schema#range>
RDF_TYPE,<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
OWL_INTERSECTIONOF,<http://www.w3.org/2002/07/owl#intersectionOf>
OWL_MAXCARDINALITY,<http://www.w3.org/2002/07/owl#maxCardinality>
OWL_MAXQUALIFIEDCARDINALITY,<http://www.w3.org/2002/07/owl#maxQualifiedCardinality>
OWL_RESTRICTION,<http://www.w3.org/2002/07/owl#Restriction>
OWL_FIRST,<http://www.w3.org/1999/02/22-rdf-syntax-ns#first>
OWL_REST,<http://www.w3.org/1999/02/22-rdf-syntax-ns#rest>
OWL_NIL,<http://www.w3.org/1999/02/22-rdf-syntax-ns#nil>
OWL_COMPLEMENTOF,<http://www.w3.org/2002/07/owl#complementOf>
OWL_UNIONOF,<http://www.w3.org/2002/07/owl#unionOf>
OWL_DISJOINTWITH,<http://www.w3.org/2002/07/owl#disjointWith>
OWL_ONEOF,<http://www.w3.org/2002/07/owl#oneOf>
OWL_PROPERTYCHAIN,<http://www.w3.org/2002/07/owl#propertyChainAxiom>
OWL_THING,<http://www.w3.org/2002/07/owl#Thing>
OWL_HASKEY,<http://www.w3.org/2002/07/owl#hasKey>
