RDFS_SUBCLASS_OF,rdfs:subClassOf
RDFS_SUBPROPERTY_OF,rdfs:subPropertyOf
RDFS_DOMAIN,rdfs:domain
RDFS_RANGE,rdfs:range
RDF_TYPE,rdf:type
OWL_FUNCTIONAL_PROPERTY,owl:FunctionalProperty
OWL_INVERSE_FUNCTIONAL_PROPERTY,owl:InverseFunctionalProperty
OWL_SYMMETRIC_PROPERTY,owl:SymmetricProperty
OWL_TRANSITIVE_PROPERTY,owl:TransitiveProperty
OWL_SAME_AS,owl:sameAs
OWL_INVERSE_OF,owl:inverseOf
OWL_EQUIVALENT_CLASS,owl:equivalentClass
OWL_EQUIVALENT_PROPERTY,owl:equivalentProperty
OWL_HAS_VALUE,owl:hasValue
OWL_ON_PROPERTY,owl:onProperty
OWL_SOME_VALUES_FROM,owl:someValuesFrom
OWL_ALL_VALUES_FROM,owl:allValuesFrom
RDFS_PROPERTY,owl:ObjectProperty
OWL_INTERSECTIONOF,owl:intersectionOf
OWL_MAXCARDINALITY,owl:maxCardinality
OWL_RESTRICTION,owl:Restriction
OWL_FIRST,owl:first
OWL_REST,owl:rest
OWL_NIL,owl:nil
OWL_COMPLEMENTOF,owl:complementOf
OWL_UNIONOF,owl:unionOf
OWL_DISJOINTWITH,owl:disjointWith
OWL_ONEOF,owl:oneOf
OWL_PROPERTYCHAIN,owl:propertyChainAxiom
